id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Echoes of Autumn,Clara Voss,classical,melancholic,0.22,58,0.38,0.24,0.97
12,Block Party Anthem,Drez Malik,hip-hop,hype,0.88,95,0.76,0.91,0.08
13,Heartstrings,Lena Soleil,r&b,romantic,0.55,85,0.82,0.68,0.44
14,Desert Highway,The Dustwalkers,country,nostalgic,0.48,104,0.73,0.61,0.83
15,Iron Curtain,Gravewarden,metal,angry,0.97,178,0.22,0.55,0.04
16,Sunset Favela,Rio Collective,latin,uplifting,0.79,116,0.88,0.93,0.31
17,Candle and Rain,Morrow Folk,folk,sad,0.31,68,0.29,0.38,0.91
18,Dreampool,Haze Atlas,dream pop,dreamy,0.50,99,0.67,0.65,0.58
